title,issn,publisher,sjr,h_index,total_docs_3years,country,areas,year,sjr_rank
Annual Review of Psychology,"00664308, 15452085",Annual Reviews Inc.,13.786,298,81,United States,Psychology,2024,1
Annual Review of Organizational Psychology and Organizational Behavior,23270608,Annual Reviews Inc.,12.191,86,52,United States,"Business, Management and Accounting; Psychology",2024,2
Psychological Bulletin,"00332909, 19391455",American Psychological Association,8.696,379,104,United States,Arts and Humanities; Psychology,2024,3
Annual Review of Clinical Psychology,"15485951, 15485943",Annual Reviews Inc.,8.021,158,65,United States,Medicine; Psychology,2024,4
Nature Reviews Psychology,27310574,Nature Publishing Group,7.064,33,252,United States,Psychology,2024,5
Advances in Methods and Practices in Psychological Science,"25152459, 25152467",SAGE Publications Inc.,6.947,49,88,United States,Psychology,2024,6
Journal of Applied Psychology,"19391854, 00219010",American Psychological Association,6.803,353,380,United States,Psychology,2024,7
Clinical Psychology Review,"18737811, 02727358",Elsevier Inc.,6.617,269,211,United States,Medicine; Psychology,2024,8
Qualitative Research in Psychology,"14780895, 14780887",Taylor and Francis Ltd.,6.248,56,109,United Kingdom,Psychology,2024,9
Psychological Science in the Public Interest,"21600031, 15291006",SAGE Publications Inc.,5.852,62,23,United States,Psychology,2024,10
Educational Psychologist,"15326985, 00461520",Routledge,5.794,163,63,United States,Psychology,2024,11
Nature Human Behaviour,23973374,Nature Publishing Group,5.537,113,696,United Kingdom,Neuroscience; Psychology,2024,12
Personality and Social Psychology Review,"10888683, 15327957",SAGE Publications Inc.,5.493,194,40,United States,Psychology,2024,13
Personnel Psychology,"00315826, 17446570",Wiley-Blackwell,5.414,175,94,United States,"Business, Management and Accounting; Psychology",2024,14
Leadership Quarterly,10489843,Elsevier Inc.,5.393,202,139,United States,"Business, Management and Accounting; Psychology; Social Sciences",2024,15
Perspectives on Psychological Science,"17456916, 17456924",SAGE Publications Ltd,5.393,196,320,United States,Psychology,2024,16
Psychological Methods,"1082989X, 19391463",American Psychological Association,4.925,195,285,United States,Arts and Humanities; Psychology,2024,17
Psychotherapy and Psychosomatics,"00333190, 14230348",S. Karger AG,4.904,123,142,Switzerland,Medicine; Psychology,2024,18
Health Psychology Review,"17437202, 17437199",Routledge,4.838,81,80,United Kingdom,Medicine; Psychology,2024,19
Journal of Consumer Psychology,"15327663, 10577408",John Wiley &amp; Sons Inc.,4.547,147,160,United States,"Business, Management and Accounting; Psychology",2024,20
